# x,y,z,is_reachable
0.180,-0.570,0.193,1.0
0.555,-0.157,0.193,1.0
0.555,-0.057,0.193,1.0
-0.405,0.001,0.569,1.0
-0.475,0.112,0.137,1.0
-0.220,-0.557,0.193,1.0
-0.570,-0.102,0.138,1.0
-0.380,-0.445,0.101,1.0
-0.282,-0.032,0.105,0.0
0.293,-0.445,0.043,1.0
0.520,-0.080,0.349,1.0
-0.332,-0.469,0.105,1.0
-0.001,-0.001,0.600,1.0
0.180,-0.570,0.193,1.0
-0.182,-0.570,0.193,1.0
-0.032,-0.469,0.518,1.0
0.205,-0.482,0.406,1.0
0.555,-0.107,0.143,1.0
0.557,-0.142,0.286,1.0
0.256,0.268,-0.019,1.0
-0.096,-0.228,0.675,1.0
0.024,-0.019,0.618,1.0
0.412,-0.376,0.312,1.0
0.555,-0.157,0.193,1.0
-0.419,-0.382,0.318,1.0
-0.207,-0.570,0.143,1.0
0.180,-0.570,0.193,1.0
0.218,0.256,0.005,1.0
-0.570,-0.107,0.231,1.0
0.337,-0.439,0.074,1.0
0.518,-0.182,0.331,1.0
0.279,0.001,0.063,1.0
-0.101,-0.363,0.011,1.0
-0.432,-0.318,0.366,1.0
-0.232,0.318,0.018,1.0
0.114,-0.369,0.573,1.0
0.359,-0.138,0.571,1.0
-0.570,0.056,0.168,1.0
-0.457,-0.382,0.268,1.0
-0.482,-0.057,0.018,1.0
-0.526,-0.026,0.124,1.0
-0.482,-0.071,0.463,1.0
-0.432,0.043,0.018,1.0
-0.432,0.074,0.268,1.0
-0.382,-0.457,0.268,1.0
-0.357,-0.482,0.368,0.0
-0.294,-0.244,0.131,1.0
-0.376,-0.288,0.474,1.0
-0.330,-0.128,0.063,1.0
-0.393,-0.065,0.569,1.0
-0.332,0.143,0.068,1.0
-0.282,-0.482,0.443,0.0
-0.232,-0.244,0.024,1.0
-0.232,-0.132,0.243,1.0
-0.238,-0.076,0.062,1.0
-0.238,0.062,0.162,1.0
-0.279,0.268,0.038,1.0
-0.157,-0.582,0.118,1.0
-0.189,-0.488,0.024,1.0
-0.157,-0.382,0.568,1.0
-0.132,-0.257,0.218,1.0
-0.098,-0.533,0.264,1.0
-0.057,-0.182,0.668,1.0
0.083,-0.378,0.519,1.0
0.083,-0.378,0.570,1.0
0.024,-0.188,0.436,1.0
0.024,-0.164,0.499,1.0
0.043,-0.032,0.568,0.0
0.043,-0.032,0.618,1.0
0.143,-0.582,0.118,1.0
0.121,-0.496,0.469,1.0
0.218,-0.132,0.318,1.0
0.268,-0.032,0.555,1.0
0.264,0.264,0.058,1.0
0.373,0.047,0.159,1.0
0.368,0.068,0.268,1.0
0.469,-0.352,0.264,1.0
0.423,-0.003,0.159,1.0
0.443,0.068,0.268,1.0
-0.585,-0.113,0.073,0.0
-0.278,-0.047,0.519,1.0
0.133,-0.328,0.620,1.0
0.058,-0.072,0.469,0.0
-0.527,-0.272,0.115,1.0
-0.432,-0.157,-0.032,1.0
-0.533,-0.147,0.364,1.0
-0.483,-0.110,0.507,0.0
-0.432,-0.357,0.068,1.0
-0.357,-0.182,-0.032,1.0
-0.382,0.099,0.268,1.0
-0.282,-0.532,0.268,1.0
-0.257,-0.282,-0.032,1.0
-0.332,-0.257,-0.032,1.0
-0.307,0.168,0.118,1.0
-0.278,-0.533,0.264,1.0
-0.135,-0.521,0.469,0.0
-0.107,-0.232,0.318,1.0
-0.032,-0.457,-0.032,1.0
0.043,-0.632,0.168,0.0
0.093,-0.582,0.368,1.0
0.024,-0.189,0.424,1.0
0.193,-0.432,0.468,1.0
0.093,-0.232,0.318,1.0
0.118,-0.007,0.568,0.0
0.264,-0.533,0.288,1.0
0.243,-0.432,-0.032,1.0
0.268,-0.282,0.593,1.0
0.406,-0.482,0.155,0.0
0.339,-0.533,0.264,0.0
0.469,-0.328,0.264,1.0
0.343,0.068,-0.032,0.0
0.518,-0.270,0.218,1.0
0.423,0.072,0.159,1.0
-0.328,-0.122,0.364,1.0
-0.097,-0.228,0.314,1.0
0.058,-0.228,0.314,1.0
0.364,-0.172,0.570,1.0
-0.483,-0.352,0.108,1.0
-0.533,-0.278,0.133,1.0
-0.532,-0.082,0.043,1.0
-0.457,-0.332,0.118,1.0
-0.302,-0.533,0.264,1.0
-0.357,-0.207,0.468,1.0
-0.144,-0.332,-0.025,1.0
-0.182,-0.082,0.443,1.0
-0.172,-0.097,0.389,1.0
-0.082,-0.457,-0.032,1.0
-0.085,-0.521,0.469,1.0
-0.089,-0.102,0.697,0.0
-0.032,-0.032,0.706,0.0
0.068,-0.632,0.143,0.0
0.118,-0.582,0.268,1.0
0.075,-0.102,0.697,0.0
0.121,-0.496,0.494,1.0
0.309,-0.535,0.123,1.0
0.288,-0.533,0.264,1.0
0.309,-0.324,0.521,1.0
0.293,-0.132,0.618,1.0
0.469,-0.378,0.264,1.0
0.083,-0.278,0.264,1.0
-0.584,-0.147,0.314,0.0
-0.533,-0.147,0.364,1.0
-0.332,-0.257,-0.032,1.0
-0.282,-0.157,-0.032,1.0
-0.307,-0.082,0.418,1.0
-0.172,-0.172,0.314,1.0
-0.319,0.088,0.305,0.0
-0.182,0.018,0.543,1.0
-0.032,-0.632,0.243,0.0
0.018,-0.257,0.268,0.0
-0.032,-0.457,-0.032,1.0
0.071,-0.521,0.469,1.0
0.070,-0.185,0.351,1.0
0.075,-0.102,0.697,0.0
0.168,-0.582,0.043,0.0
0.068,-0.632,0.143,0.0
0.093,-0.232,0.318,1.0
0.231,-0.482,-0.025,0.0
0.264,-0.533,0.339,1.0
0.305,0.088,0.305,0.0
0.318,-0.157,-0.032,1.0
0.519,-0.278,0.108,1.0
0.443,-0.182,-0.032,0.0
0.518,-0.132,0.443,0.0
0.443,-0.032,-0.032,1.0
-0.228,-0.147,0.264,1.0
0.083,-0.584,0.364,1.0
0.213,-0.147,0.264,1.0
-0.457,-0.332,0.068,1.0
-0.507,-0.232,0.368,1.0
-0.482,-0.032,-0.007,1.0
-0.533,0.108,0.108,1.0
-0.457,0.168,0.018,1.0
-0.357,-0.182,-0.032,1.0
-0.302,0.058,0.364,1.0
-0.288,-0.500,0.061,1.0
-0.195,-0.282,0.024,1.0
-0.282,-0.157,-0.032,1.0
-0.207,-0.082,0.268,0.0
-0.182,-0.432,-0.019,1.0
-0.122,-0.122,0.364,1.0
-0.107,-0.632,0.218,0.0
-0.107,-0.632,0.218,0.0
-0.057,-0.532,-0.032,0.0
-0.026,-0.138,0.411,1.0
0.043,-0.632,0.168,0.0
-0.032,-0.632,0.243,0.0
0.083,-0.483,0.519,1.0
0.018,-0.182,0.693,0.0
0.168,-0.607,0.218,0.0
0.143,-0.382,-0.032,1.0
0.118,-0.307,0.018,0.0
0.174,-0.376,0.612,0.0
0.143,-0.182,0.268,0.0
0.068,-0.057,0.368,0.0
0.243,-0.432,-0.032,1.0
0.264,-0.533,0.314,1.0
0.118,-0.282,0.143,1.0
